metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1718175647,1.000000,,,,true,::setup,POST,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,HTTP/2.0,,,200,,tls1.2,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,,
http_req_duration,1718175647,312.221000,,,,true,::setup,POST,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,HTTP/2.0,,,200,,tls1.2,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,,
http_req_blocked,1718175647,279.675000,,,,true,::setup,POST,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,HTTP/2.0,,,200,,tls1.2,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,,
http_req_connecting,1718175647,23.175000,,,,true,::setup,POST,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,HTTP/2.0,,,200,,tls1.2,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,,
http_req_tls_handshaking,1718175647,176.558000,,,,true,::setup,POST,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,HTTP/2.0,,,200,,tls1.2,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,,
http_req_sending,1718175647,0.946000,,,,true,::setup,POST,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,HTTP/2.0,,,200,,tls1.2,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,,
http_req_waiting,1718175647,311.180000,,,,true,::setup,POST,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,HTTP/2.0,,,200,,tls1.2,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,,
http_req_receiving,1718175647,0.095000,,,,true,::setup,POST,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,HTTP/2.0,,,200,,tls1.2,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,,
http_req_failed,1718175647,0.000000,,,,true,::setup,POST,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,HTTP/2.0,,,200,,tls1.2,https://msc-service-v2-stg.isuzu-tis.com/api/v1/login,,
vus,1718175648,0.000000,,,,,,,,,,,,,,,,
vus_max,1718175648,1.000000,,,,,,,,,,,,,,,,
vus,1718175649,0.000000,,,,,,,,,,,,,,,,
vus_max,1718175649,1.000000,,,,,,,,,,,,,,,,
checks,1718175649,1.000000,is status 200,,,,::setup,,,,,,,,,,,
checks,1718175649,1.000000,is res body has username,,,,::setup,,,,,,,,,,,
data_sent,1718175649,761.000000,,,,,::setup,,,,,,,,,,,
data_received,1718175649,9609.000000,,,,,::setup,,,,,,,,,,,
iteration_duration,1718175649,2593.412875,,,,,::setup,,,,,,,,,,,
vus,1718175650,0.000000,,,,,,,,,,,,,,,,
vus_max,1718175650,1.000000,,,,,,,,,,,,,,,,
vus,1718175651,0.000000,,,,,,,,,,,,,,,,
vus_max,1718175651,1.000000,,,,,,,,,,,,,,,,
vus,1718175652,0.000000,,,,,,,,,,,,,,,,
vus_max,1718175652,1.000000,,,,,,,,,,,,,,,,
vus,1718175653,0.000000,,,,,,,,,,,,,,,,
